WordFormID	PlainText	PhoneticText	StemText	Occurences
763716	words	WRTS	word	447
763717	lords	LRTS	lord	446
763718	indeed	INTT	inde	446
763719	show	X	show	445
763720	once	ONS	onc	445
763721	aside	AST	asid	444
763722	full	FL	full	444
763723	stay	ST	stai	436
763724	friend	FRNT	friend	436
763725	place	PLS	place	435
763726	after	AFTR	after	431
763727	tongue	TNK	tongu	429
763728	else	ELS	els	429
763729	daughter	TTR	daughter	426
763730	that's	0TS	that	421
763731	faith	F0	faith	420
763732	prince	PRNS	princ	418
763733	house	HS	hous	414
763734	about	ABT	about	411
763735	said	ST	said	408
763736	thought	0T	thought	401
763737	please	PLS	pleas	401
763738	fool	FL	fool	400
763739	there's	0RS	there	399
763740	forth	FR0	forth	395
763741	has	HS	ha	394
763742	ere	ER	er	389
763743	answer	ANSWR	answer	389
763744	mind	MNT	mind	386
763745	gentle	JNTL	gentl	386
763746	three	0R	three	386
763747	makes	MKS	make	385
763748	france	FRNS	franc	385
763749	another	AN0R	anoth	382
763750	boy	B	boi	380
763751	caesar	KSR	caesar	379
763752	welcome	WLKM	welcom	377
763753	without	W0T	without	374
763754	hope	HP	hope	373
763755	hence	HNS	henc	371
763756	marry	MR	marri	371
763757	rest	RST	rest	370
763758	nature	NTR	natur	364
763759	farewell	FRWL	farewel	363
763760	right	RFT	right	362
763761	heard	HRT	heard	362
763762	came	KM	came	361
763763	matter	MTR	matter	359
763764	cause	KS	caus	354
763765	back	BK	back	352
763766	power	PWR	power	350
763767	sword	SWRT	sword	349
763768	bid	BT	bid	348
763769	things	0NKS	thing	347
763770	truth	TR0	truth	347
763771	what's	HTS	what	346
763772	lie	L	lie	346
763773	shame	XM	shame	346
763774	home	HM	home	345
763775	mother	M0R	mother	345
763776	use	US	us	341
763777	help	HLP	help	339
763778	thousand	0SNT	thousand	338
763779	gods	KTS	god	333
763780	woman	WMN	woman	332
763781	does	TS	doe	332
763782	wilt	WLT	wilt	330
763783	tears	TRS	tear	329
763784	fortune	FRTN	fortun	328
763785	hands	HNTS	hand	327
763786	meet	MT	meet	327
763787	rather	R0R	rather	327
763788	only	ONL	onli	326
763789	gentleman	JNTLMN	gentleman	324
763790	end	ENT	end	323
763791	enough	ENF	enough	323
763792	earth	ER0	earth	322
763793	we'll	WL	well	320
763794	get	JT	get	319
763795	news	NS	new	317
763796	shalt	XLT	shalt	316
763797	fall	FL	fall	315
763798	john	JN	john	315
763799	false	FLS	fals	315
763800	he's	HS	he	313
763801	follow	FL	follow	313
763802	state	STT	state	312
763803	hour	HR	hour	311
763804	light	LFT	light	310
763805	through	0R	through	305
763806	play	PL	plai	305
763807	fellow	FL	fellow	305
763808	hither	H0R	hither	305
763809	re-enter	RNTR	reenter	305
763810	ye	Y	ye	304
763811	pardon	PRTN	pardon	304
763812	sure	SR	sure	302
763813	thank	0NK	thank	300
763814	mean	MN	mean	300
763815	husband	HSBNT	husband	299
763816	far	FR	far	298
763817	reason	RSN	reason	298
763818	fire	FR	fire	296
763819	under	UNTR	under	295
763820	yourself	YRSLF	yourself	294
763821	youth	Y0	youth	294
763822	last	LST	last	294
763823	lay	L	lai	293
763824	honest	HNST	honest	293
763825	rome	RM	rome	289
763826	bed	BT	bed	289
763827	kind	KNT	kind	289
763828	turn	TRN	turn	283
763829	fight	FFT	fight	282
763830	arms	ARMS	arm	281
763831	seen	SN	seen	281
763832	body	BT	bodi	279
763833	henry	HNR	henri	278
763834	saw	S	saw	277
763835	lost	LST	lost	276
763836	together	TJ0R	togeth	275
763837	each	EX	each	273
763838	lies	LS	li	273
763839	mark	MRK	mark	272
763840	means	MNS	mean	271
763841	sleep	SLP	sleep	270
763842	wit	WT	wit	269
763843	thoughts	0TS	thought	269
763844	sent	SNT	sent	269
763845	prove	PRF	prove	268
763846	break	BRK	break	267
763847	left	LFT	left	267
763848	yours	YRS	your	266
763849	swear	SWR	swear	265
763850	crown	KRN	crown	265
763851	majesty	MJST	majesti	264
763852	while	HL	while	262
763853	york	YRK	york	261
763854	war	WR	war	261
763855	itself	ITSLF	itself	260
763856	send	SNT	send	259
763857	desire	TSR	desir	259
763858	spirit	SPRT	spirit	259
763859	fly	FL	fly	257
763860	cousin	KSN	cousin	257
763861	strange	STRNJ	strang	256
763862	present	PRSNT	present	256
763863	let's	LTS	let	255
763864	foul	FL	foul	254
763865	sun	SN	sun	252
763866	antony	ANTN	antoni	251
763867	beauty	BT	beauti	250
763868	wrong	RNK	wrong	250
763869	child	XLT	child	249
763870	villain	FLN	villain	249
763871	ill	IL	ill	248
763872	letter	LTR	letter	248
763873	says	SS	sai	247
763874	court	KRT	court	247
763875	mad	MT	mad	247
763876	ne'er	NR	neer	246
763877	high	HF	high	246
763878	grief	KRF	grief	246
763879	england	ENKLNT	england	245
763880	believe	BLF	believ	243
763881	gave	KF	gave	242
763882	seek	SK	seek	241
763883	alone	ALN	alon	240
763884	thyself	0SLF	thyself	240
763885	told	TLT	told	240
763886	pity	PT	piti	240
763887	alas	ALS	ala	237
763888	father's	F0RS	father	237
763889	sea	S	sea	236
763890	breath	BR0	breath	236
763891	looks	LKS	look	236
763892	business	BSNS	busi	234
763893	found	FNT	found	234
763894	bloody	BLT	bloodi	234
763895	th	0	th	233
763896	beseech	BSX	beseech	232
763897	gold	KLT	gold	233
763898	cry	KR	cry	230
763899	care	KR	care	230
763900	horse	HRS	hors	230
763901	wish	WX	wish	230
763902	between	BTWN	between	230
763903	to-morrow	TMR	tomorrow	229
763904	worthy	WR0	worthi	229
763905	sit	ST	sit	226
763906	ha	H	ha	225
763907	less	LS	less	225
763908	devil	TFL	devil	225
763909	save	SF	save	224
763910	same	SM	same	223
763911	proud	PRT	proud	222
763912	warwick	WRWK	warwick	222
763913	service	SRFS	servic	222
763914	music	MSK	music	221
763915	kill	KL	kill	220
763916	sight	SFT	sight	220
763917	others	O0RS	other	220
763918	age	AJ	ag	219
763919	knows	NS	know	219
763920	sorrow	SR	sorrow	219
763921	near	NR	near	219
763922	draw	TR	draw	218
763923	ear	ER	ear	218
763924	worth	WR0	worth	217
763925	sound	SNT	sound	217
763926	prithee	PR0	prithe	217
763927	royal	RYL	royal	217
763928	purpose	PRPS	purpos	216
763929	dare	TR	dare	215
763930	half	HLF	half	215
763931	lose	LS	lose	214
763932	brought	BRFT	brought	214
763933	times	TMS	time	213
763934	happy	HP	happi	213
763935	return	RTRN	return	213
763936	lives	LFS	live	213
763937	kiss	KS	kiss	212
763938	here's	HRS	here	212
763939	cold	KLT	cold	212
763940	joy	J	joi	212
763941	o'er	OR	oer	211
763942	yes	YS	ye	210
763943	land	LNT	land	210
763944	further	FR0R	further	210
763945	gentlemen	JNTLMN	gentlemen	209
763946	gloucester	KLSSTR	gloucest	209
763947	company	KMPN	compani	209
763948	read	RT	read	209
763949	new	N	new	208
763950	loves	LFS	love	207
763951	air	AR	air	207
763952	talk	TLK	talk	206
763953	charge	XRJ	charg	206
763954	richard	RXRT	richard	205
763955	late	LT	late	204
763956	holy	HL	holi	203
763957	wear	WR	wear	203
763958	yea	Y	yea	203
763959	virtue	FRT	virtu	203
763960	people	PPL	peopl	203
763961	ho	H	ho	202
763962	brutus	BRTS	brutu	201
763963	page	PJ	page	200
763964	strong	STRNK	strong	200
763965	gracious	KRSS	graciou	200
763966	years	YRS	year	200
763967	law	L	law	200
763968	days	TS	dai	200
763969	general	JNRL	gener	200
763970	remember	RMMR	rememb	199
763971	patience	PTNS	patienc	199
763972	run	RN	run	199
763973	wind	WNT	wind	198
763974	seem	SM	seem	198
763975	neither	N0R	neither	198
763976	given	JFN	given	197
763977	because	BKS	becaus	197
763978	known	NN	known	196
763979	comfort	KMFRT	comfort	194
763980	side	ST	side	194
763981	grave	KRF	grave	193
763982	free	FR	free	193
763983	pleasure	PLSR	pleasur	192
763984	serve	SRF	serv	191
763985	praise	PRS	prais	190
763986	maid	MT	maid	190
763987	soldiers	SLTRS	soldier	190
763988	highness	HFNS	high	189
763989	didst	TTST	didst	189
763990	work	WRK	work	189
763991	servant	SRFNT	servant	188
763992	need	NT	ne	187
763993	certain	SRTN	certain	186
763994	uncle	UNKL	uncl	185
763995	bound	BNT	bound	185
763996	ears	ERS	ear	184
763997	canst	KNST	canst	184
763998	warrant	WRNT	warrant	184
763999	something	SM0NK	someth	184
764000	hate	HT	hate	184
764001	sad	ST	sad	183
764002	goes	KS	goe	183
764003	doubt	TBT	doubt	183
764004	heavy	HF	heavi	182
764005	sake	SK	sake	181
764006	trust	TRST	trust	181
764007	born	BRN	born	181
764008	sister	SSTR	sister	180
764009	either	E0R	either	179
764010	weep	WP	weep	179
764011	rich	RX	rich	179
764012	sin	SN	sin	179
764013	is't	IST	ist	178
764014	over	OFR	over	178
764015	command	KMNT	command	178
764016	hearts	HRTS	heart	178
764017	fault	FLT	fault	177
764018	ah	A	ah	176
764019	having	HFNK	have	176
764020	cut	KT	cut	176
764021	thanks	0NKS	thank	176
764022	mercy	MRS	merci	176
764023	money	MN	monei	175
764024	behold	BHLT	behold	175
764025	ground	KRNT	ground	175
764026	hard	HRT	hard	175
764027	em	EM	em	175
764028	merry	MR	merri	175
764029	black	BLK	black	174
764030	themselves	0MSLFS	themselv	174
764031	hang	HNK	hang	173
764032	lips	LPS	lip	173
764033	foot	FT	foot	173
764034	worse	WRS	wors	173
764035	to-night	TNFT	tonight	173
764036	justice	JSTS	justic	172
764037	next	NKST	next	171
764038	edward	ETWRT	edward	171
764039	haste	HST	hast	171
764040	ask	ASK	ask	170
764041	sick	SK	sick	169
764042	wise	WS	wise	169
764043	hell	HL	hell	169
764044	truly	TRL	truli	169
764045	voice	FS	voic	168
764046	course	KRS	cours	168
764047	fit	FT	fit	168
764048	hot	HT	hot	167
764049	stands	STNTS	stand	166
764050	took	TK	took	166
764051	almost	ALMST	almost	166
764052	french	FRNX	french	166
764053	knave	NF	knave	166
764054	deed	TT	de	166
764055	base	BS	base	165
764056	fie	F	fie	165
764057	women	WMN	women	165
764058	woe	W	woe	164
764059	straight	STRFT	straight	164
764060	brave	BRF	brave	164
764061	unless	UNLS	unless	164
764062	content	KNTNT	content	164
764063	call'd	KLT	calld	164
764064	strike	STRK	strike	163
764065	enemy	ENM	enemi	163
764066	man's	MNS	man	163
764067	change	XNJ	chang	163
764068	field	FLT	field	162
764069	loved	LFT	love	162
764070	twas	TWS	twa	161
764071	coming	KMNK	come	160
764072	revenge	RFNJ	reveng	160
764073	lest	LST	lest	160
764074	to-day	TT	todai	159
764075	knew	N	knew	159
764076	ten	TN	ten	159
764077	duty	TT	duti	159
764078	ring	RNK	ring	159
764079	drink	TRNK	drink	159
764080	she's	XS	she	159
764081	deep	TP	deep	159
764082	soon	SN	soon	158
764083	hark	HRK	hark	157
764084	you'll	YL	youll	157
764085	above	ABF	abov	157
764086	yield	YLT	yield	157
764087	coriolanus	KRLNS	coriolanu	157
764088	note	NT	note	156
764089	past	PST	past	156
764090	common	KMN	common	156
764091	heavens	HFNS	heaven	155
764092	oft	OFT	oft	155
764093	gives	JFS	give	155
764094	oath	O0	oath	154
764095	twenty	TWNT	twenti	154
764096	open	OPN	open	153
764097	tender	TNTR	tender	153
764098	arm	ARM	arm	152
764099	eat	ET	eat	152
764100	needs	NTS	ne	152
764101	sons	SNS	son	152
764102	pass	PS	pass	152
764103	sing	SNK	sing	152
764104	valiant	FLNT	valiant	151
764105	sovereign	SFRN	sovereign	151
764106	methinks	M0NKS	methink	151
764107	just	JST	just	151
764108	report	RPRT	report	150
764109	question	KSXN	question	150
764110	pay	P	pai	150
764111	spoke	SPK	spoke	150
764112	english	ENKLX	english	150
764113	married	MRT	marri	150
764114	want	WNT	want	149
764115	already	ALRT	alreadi	149
764116	sirrah	SR	sirrah	149
764117	white	HT	white	148
764118	lead	LT	lead	148
764119	pale	PL	pale	148
764120	king's	KNKS	king	148
764121	presently	PRSNTL	present	148
764122	hours	HRS	hour	148
764123	suit	ST	suit	148
764124	ready	RT	readi	148
764125	four	FR	four	148
764126	point	PNT	point	147
764127	withal	W0L	withal	146
764128	grow	KR	grow	146
764129	person	PRSN	person	146
764130	become	BKM	becom	146
764131	knight	NFT	knight	145
764132	messenger	MSNJR	messeng	145
764133	wherefore	HRFR	wherefor	145
764134	liege	LJ	lieg	144
764135	soldier	SLTR	soldier	144
764136	wherein	HRN	wherein	144
764137	dog	TK	dog	143
764138	bold	BLT	bold	142
764139	ladies	LTS	ladi	142
764140	water	WTR	water	142
764141	flesh	FLX	flesh	142
764142	hector	HKTR	hector	142
764143	captain	KPTN	captain	142
764144	fell	FL	fell	141
764145	wars	WRS	war	139
764146	met	MT	met	139
764147	bad	BT	bad	138
764148	deny	TN	deni	138
764149	de	T	de	138
764150	fast	FST	fast	137
764151	slain	SLN	slain	137
764152	fare	FR	fare	137
764153	appear	APR	appear	137
764154	sworn	SWRN	sworn	137
764155	rage	RJ	rage	136
764156	speaks	SPKS	speak	135
764157	slave	SLF	slave	135
764158	anon	ANN	anon	134
764159	wouldst	WLTST	wouldst	134
764160	sense	SNS	sens	134
764161	speech	SPX	speech	134
764162	t	T	t	133
764163	country	KNTR	countri	133
764164	soft	SFT	soft	133
764165	glad	KLT	glad	133
764166	door	TR	door	133
764167	god's	KTS	god	133
764168	mouth	M0	mouth	133
764169	bosom	BSM	bosom	133
764170	beat	BT	beat	133
764171	counsel	KNSL	counsel	133
764172	office	OFS	offic	133
764173	signior	SKNR	signior	132
764174	quickly	KKL	quickli	132
764175	letters	LTRS	letter	131
764176	traitor	TRTR	traitor	131
764177	cassio	KS	cassio	131
764178	city	ST	citi	131
764179	kings	KNKS	king	131
764180	speed	SPT	spe	131
764181	whole	HL	whole	129
764182	seems	SMS	seem	130
764183	sport	SPRT	sport	130
764184	loss	LS	loss	130
764185	pretty	PRT	pretti	130
764186	romeo	RM	romeo	130
764187	clarence	KLRNS	clarenc	130
764188	moon	MN	moon	130
764189	lucius	LSS	luciu	130
764190	wonder	WNTR	wonder	129
764191	behind	BHNT	behind	129
764192	flourish	FLRX	flourish	129
764193	morning	MRNNK	morn	129
764194	strength	STRNK0	strength	129
764195	confess	KNFS	confess	129
764196	favour	FFR	favour	128
764197	witness	WTNS	wit	128
764198	often	OFTN	often	128
764199	attend	ATNT	attend	128
764200	cardinal	KRTNL	cardin	128
764201	spirits	SPRTS	spirit	128
764202	five	FF	five	128
764203	act	AKT	act	127
764204	walk	WLK	walk	127
764205	watch	WTX	watch	127
764206	twere	TWR	twere	127
764207	pride	PRT	pride	126
764208	living	LFNK	live	126
764209	fetch	FTX	fetch	126
764210	honourable	HNRBL	honour	126
764211	conscience	KNSNS	conscienc	126
764212	write	RT	write	125
764213	win	WN	win	125
764214	dream	TRM	dream	125
764215	got	KT	got	125
764216	attendants	ATNTNTS	attend	124
764217	whilst	HLST	whilst	124
764218	second	SKNT	second	123
764219	excellent	EKSSLNT	excel	123
764220	vile	FL	vile	122
764221	begin	BJN	begin	122
764222	hair	HR	hair	121
764223	touch	TX	touch	121
764224	takes	TKS	take	121
764225	deeds	TTS	de	120
764226	loving	LFNK	love	120
764227	fortunes	FRTNS	fortun	120
764228	action	AKXN	action	120
764229	march	MRX	march	120
764230	claudio	KLT	claudio	120
764231	longer	LNJR	longer	120
764232	saint	SNT	saint	118
764233	weak	WK	weak	118
764234	parts	PRTS	part	118
764235	town	TN	town	117
764236	along	ALNK	along	117
764237	guard	KRT	guard	117
764238	passion	PSN	passion	117
764239	teach	TX	teach	116
764240	quoth	K0	quoth	116
764241	falstaff	FLSTF	falstaff	116
764242	besides	BSTS	besid	116
764243	offence	OFNS	offenc	116
764244	force	FRS	forc	116
764245	troilus	TRLS	troilu	116
764246	princes	PRNSS	princ	116
764247	breast	BRST	breast	116
764248	whether	H0R	whether	116
764249	ourselves	ORSLFS	ourselv	116
764250	hide	HT	hide	115
764251	morrow	MR	morrow	115
764252	lordship	LRTXP	lordship	115
764253	shows	XS	show	115
764254	shallow	XL	shallow	115
764255	entreat	ENTRT	entreat	115
764256	issue	IS	issu	114
764257	died	TT	di	114
764258	enemies	ENMS	enemi	114
764259	bears	BRS	bear	114
764260	souls	SLS	soul	114
764261	mighty	MFT	mighti	114
764262	hundred	HNTRT	hundr	114
764263	dies	TS	di	113
764264	herself	HRSLF	herself	113
764265	pluck	PLK	pluck	113
764266	tale	TL	tale	113
764267	drum	TRM	drum	112
764268	noise	NS	nois	112
764269	grant	KRNT	grant	112
764270	children	XLTRN	children	111
764271	judgment	JTKMNT	judgment	111
764272	marriage	MRJ	marriag	111
764273	nurse	NRS	nurs	111
764274	buckingham	BKNFM	buckingham	110
764275	form	FRM	form	110
764276	heir	HR	heir	110
764277	heads	HTS	head	110
764278	he'll	HL	hell	110
764279	lend	LNT	lend	109
764280	harry	HR	harri	109
764281	mortal	MRTL	mortal	109
764282	going	KNK	go	109
764283	writ	RT	writ	109
764284	feel	FL	feel	109
764285	love's	LFS	love	108
764286	cast	KST	cast	108
764287	kate	KT	kate	108
764288	stood	STT	stood	108
764289	margaret	MRKRT	margaret	108
764290	presence	PRSNS	presenc	108
764291	worst	WRST	worst	108
764292	danger	TNJR	danger	108
764293	fools	FLS	fool	108
764294	masters	MSTRS	master	108
764295	kept	KPT	kept	108
764296	awhile	AHL	awhil	108
764297	short	XRT	short	108
764298	quick	KK	quick	107
764299	curse	KRS	curs	107
764300	close	KLS	close	107
764301	bless	BLS	bless	107
764302	case	KS	case	107
764303	jest	JST	jest	106
764304	feast	FST	feast	106
764305	promise	PRMS	promis	106
764306	green	KRN	green	106
764307	on't	ONT	ont	106
764308	golden	KLTN	golden	106
764309	suffolk	SFLK	suffolk	106
764310	respect	RSPKT	respect	106
764311	chance	XNS	chanc	106
764312	scorn	SKRN	scorn	106
764313	hadst	HTST	hadst	106
764314	wert	WRT	wert	106
764315	bardolph	BRTLF	bardolph	105
764316	faults	FLTS	fault	105
764317	plain	PLN	plain	105
764318	throw	0R	throw	105
764319	went	WNT	went	105
764320	choose	XS	choos	105
764321	gainst	KNST	gainst	105
764322	subject	SBJKT	subject	105
764323	least	LST	least	104
764324	hamlet	HMLT	hamlet	104
764325	stop	STP	stop	104
764326	dangerous	TNJRS	danger	104
764327	valour	FLR	valour	104
764328	shake	XK	shake	104
764329	angry	ANKR	angri	104
764330	health	HL0	health	104
764331	deliver	TLFR	deliv	103
764332	low	L	low	103
764333	where's	HRS	where	103
764334	paper	PPR	paper	103
764335	adieu	AT	adieu	103
764336	move	MF	move	103
764337	earl	ERL	earl	103
764338	battle	BTL	battl	103
764339	lack	LK	lack	102
764340	to't	TT	tot	102
764341	reads	RTS	read	102
764342	blow	BL	blow	102
764343	count	KNT	count	102
764344	troth	TR0	troth	102
764345	buy	B	bui	101
764346	roman	RMN	roman	101
764347	toward	TWRT	toward	101
764348	murder	MRTR	murder	101
764349	humour	HMR	humour	101
764350	fashion	FXN	fashion	101
764351	beg	BK	beg	101
764352	friar	FRR	friar	101
764353	consent	KNSNT	consent	100
764354	thence	0NS	thenc	100
764355	virtuous	FRTS	virtuou	100
764356	prayers	PRYRS	prayer	100
764357	calls	KLS	call	100
764358	dull	TL	dull	100
764359	fresh	FRX	fresh	99
764360	understand	UNTRSTNT	understand	99
764361	chamber	XMR	chamber	99
764362	treason	TRSN	treason	99
764363	hurt	HRT	hurt	98
764364	paris	PRS	pari	98
764365	alive	ALF	aliv	98
764366	laid	LT	laid	98
764367	plague	PLK	plagu	98
764368	forward	FRWRT	forward	97
764369	gates	KTS	gate	97
764370	small	SML	small	97
764371	receive	RSF	receiv	97
764372	wisdom	WSTM	wisdom	97
764373	taken	TKN	taken	96
764374	fled	FLT	fled	96
764375	won	WN	won	96
764376	talbot	TLBT	talbot	96
764377	fine	FN	fine	96
764378	men's	MNS	men	96
764379	title	TTL	titl	96
764380	labour	LBR	labour	96
764381	quarrel	KRL	quarrel	96
764382	harm	HRM	harm	96
764383	bastard	BSTRT	bastard	96
764384	kingdom	KNKTM	kingdom	95
764385	foolish	FLX	foolish	95
764386	among	AMNK	among	95
764387	doctor	TKTR	doctor	95
764388	forget	FRJT	forget	95
764389	commend	KMNT	commend	95
764390	kill'd	KLT	killd	95
764391	brief	BRF	brief	95
764392	thither	00R	thither	95
764393	ta'en	TN	taen	95
764394	piece	PS	piec	95
764395	greater	KRTR	greater	95
764396	order	ORTR	order	94
764397	antonio	ANTN	antonio	94
764398	somerset	SMRST	somerset	94
764399	try	TR	try	94
764400	lion	LN	lion	94
764401	red	RT	red	94
764402	forgot	FRKT	forgot	94
764403	pompey	PMP	pompei	94
764404	fearful	FRFL	fear	94
764405	army	ARM	armi	94
764406	pure	PR	pure	94
764407	learn	LRN	learn	94
764408	perceive	PRSF	perceiv	93
764409	sorry	SR	sorri	93
764410	measure	MSR	measur	93
764411	book	BK	book	93
764412	achilles	AXLS	achil	93
764413	timon	TMN	timon	93
764414	offer	OFR	offer	93
764415	blame	BLM	blame	93
764416	cheeks	XKS	cheek	93
764417	worship	WRXP	worship	93
764418	ours	ORS	our	92
764419	shape	XP	shape	92
764420	taste	TST	tast	92
764421	glory	KLR	glori	92
764422	titus	TTS	titu	92
764423	wounds	WNTS	wound	92
764424	whither	H0R	whither	91
764425	angelo	ANJL	angelo	91
764426	drawn	TRN	drawn	91
764427	judge	JJ	judg	91
764428	beard	BRT	beard	91
764429	coward	KWRT	coward	91
764430	mock	MK	mock	90
764431	hearing	HRNK	hear	90
764432	year	YR	year	90
764433	vain	FN	vain	90
764434	patient	PTNT	patient	90
764435	birth	BR0	birth	90
764436	silence	SLNS	silenc	90
764437	dark	TRK	dark	90
